Sample	posterior	likelihood	prior	M.1	M.2	SkylineNe.A.1	SkylineNe.A.2	SkylineNe.B.1	SkylineNe.B.2	psi.height	psi.treeLength	Mascot	D.treeLikelihood
0	-6020.954893706313	-5998.450438438427	-22.50445526788527	0.5855216030678264	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.3816821326348326	-0.18230901515238673	1.3508511056425143	6.77877399402178	-13.87791223962674	-5998.450438438427
2	-6020.954893706313	-5998.450438438427	-22.50445526788527	0.5855216030678264	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.3816821326348326	-0.18230901515238673	1.3508511056425143	6.77877399402178	-13.87791223962674	-5998.450438438427
4	-6020.912480162051	-5998.4067212155305	-22.505758946520622	0.5855216030678264	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.3816821326348326	-0.18230901515238673	1.3508511056425143	6.779440992885501	-13.879215918262092	-5998.4067212155305
6	-6009.09201540021	-5986.214238361283	-22.877777038926837	0.5855216030678264	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.3816821326348326	-0.18230901515238673	1.3508511056425143	6.779440992885501	-14.251234010668307	-5986.214238361283
8	-6009.071501191517	-5986.192406154987	-22.879095036530444	0.5855216030678264	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.3816821326348326	-0.18230901515238673	1.3508511056425143	6.780111299716032	-14.252552008271913	-5986.192406154987
10	-6009.476193070776	-5985.901276166313	-23.57491690446312	0.5855216030678264	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.3816821326348326	-0.18230901515238673	1.449808327498009	7.276791485480709	-14.948373876204588	-5985.901276166313
12	-5989.640670682352	-5963.811858155966	-25.828812526386425	0.5855216030678264	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.3816821326348326	-0.18230901515238673	1.449808327498009	8.048418880724466	-17.202269498127894	-5963.811858155966
14	-5976.446607675442	-5950.564468054071	-25.882139621370367	0.5855216030678264	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.3816821326348326	-0.18230901515238673	1.449808327498009	8.08060950653667	-17.255596593111836	-5950.564468054071
16	-5977.169896569913	-5950.564468054071	-26.605428515842114	1.2900072912667933	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.3816821326348326	-0.18230901515238673	1.449808327498009	8.08060950653667	-17.2998101069824	-5950.564468054071
18	-5977.16066163641	-5950.564468054071	-26.59619358233918	1.2900072912667933	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.6226550907574221	-0.18230901515238673	1.449808327498009	8.08060950653667	-17.004625519132315	-5950.564468054071
20	-5886.820387639828	-5861.596878264177	-25.223509375651805	1.2900072912667933	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.6226550907574221	-0.18230901515238673	1.3475768332910931	7.242339185937357	-15.63194131244494	-5861.596878264177
22	-5886.820387639828	-5861.596878264177	-25.223509375651805	1.2900072912667933	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.6226550907574221	-0.18230901515238673	1.3475768332910931	7.242339185937357	-15.63194131244494	-5861.596878264177
24	-5879.841412550261	-5855.214767616169	-24.62664493409217	1.2900072912667933	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.6226550907574221	-0.18230901515238673	1.2589220489734925	6.765878027937109	-15.035076870885304	-5855.214767616169
26	-5878.132890502418	-5854.4089262321995	-23.723964270218687	1.2900072912667933	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.6226550907574221	-0.18230901515238673	1.1241718464600172	6.041684313807319	-14.132396207011825	-5854.4089262321995
28	-5878.132890502418	-5854.4089262321995	-23.723964270218687	1.2900072912667933	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.6226550907574221	-0.18230901515238673	1.1241718464600172	6.041684313807319	-14.132396207011825	-5854.4089262321995
30	-5864.362805175859	-5838.717824626391	-25.64498054946791	2.232798755276211	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.6226550907574221	-0.18230901515238673	3.110354144679097	10.014048910245478	-15.214617303091503	-5838.717824626391
32	-5864.362805175859	-5838.717824626391	-25.64498054946791	2.232798755276211	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.6226550907574221	-0.18230901515238673	3.110354144679097	10.014048910245478	-15.214617303091503	-5838.717824626391
34	-5864.266069873357	-5838.717824626391	-25.548245246966033	2.232798755276211	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.6226550907574221	-0.05150854427447148	3.110354144679097	10.014048910245478	-15.214617303091503	-5838.717824626391
36	-5848.783201841355	-5823.215859508128	-25.56734233322662	2.232798755276211	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.6226550907574221	-0.05150854427447148	3.110354144679097	10.03161653250913	-15.23371438935209	-5823.215859508128
38	-5849.937849619687	-5823.195827683323	-26.74202193636397	2.232798755276211	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.6226550907574221	-0.05150854427447148	5.686699194490996	15.184306632132927	-16.40839399248944	-5823.195827683323
40	-5849.937849619687	-5823.195827683323	-26.74202193636397	2.232798755276211	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.6226550907574221	-0.05150854427447148	5.686699194490996	15.184306632132927	-16.40839399248944	-5823.195827683323
42	-5850.001658164156	-5823.195827683323	-26.80583048083286	2.232798755276211	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.6226550907574221	-0.14030866705627656	5.686699194490996	15.184306632132927	-16.40839399248944	-5823.195827683323
44	-5849.955137154118	-5823.195827683323	-26.759309470795394	2.232798755276211	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.33601842472605914	-0.14030866705627656	5.686699194490996	15.184306632132927	-16.67688157128304	-5823.195827683323
46	-5849.955137154118	-5823.195827683323	-26.759309470795394	2.232798755276211	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.33601842472605914	-0.14030866705627656	5.686699194490996	15.184306632132927	-16.67688157128304	-5823.195827683323
48	-5848.6416281765505	-5821.846257351725	-26.79537082482508	2.232798755276211	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.33601842472605914	-0.14030866705627656	5.686699194490996	15.201834675499793	-16.712942925312728	-5821.846257351725
50	-5847.609145279459	-5820.799770360916	-26.809374918543057	2.232798755276211	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.6117798076718616	-0.14030866705627656	5.686699194490996	15.196901634363957	-16.426889155644346	-5820.799770360916
52	-5847.609145279459	-5820.799770360916	-26.809374918543057	2.232798755276211	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.6117798076718616	-0.14030866705627656	5.686699194490996	15.196901634363957	-16.426889155644346	-5820.799770360916
54	-5847.609145279459	-5820.799770360916	-26.809374918543057	2.232798755276211	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.6117798076718616	-0.14030866705627656	5.686699194490996	15.196901634363957	-16.426889155644346	-5820.799770360916
56	-5847.554251938528	-5820.799770360916	-26.75448157761166	2.232798755276211	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.6117798076718616	-0.06338712868988193	5.686699194490996	15.196901634363957	-16.426889155644346	-5820.799770360916
58	-5793.23937119339	-5765.370303346697	-27.869067846692857	2.232798755276211	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.6117798076718616	-0.06338712868988193	5.686699194490996	15.716318380298214	-17.541475424725544	-5765.370303346697
60	-5793.078299409019	-5765.370319992328	-27.7079794166907	2.232798755276211	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.6117798076718616	-0.03374414607953589	5.3786682339839205	15.100256459284063	-17.39996160326802	-5765.370319992328
62	-5793.078299409019	-5765.370319992328	-27.7079794166907	2.232798755276211	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.6117798076718616	-0.03374414607953589	5.3786682339839205	15.100256459284063	-17.39996160326802	-5765.370319992328
64	-5793.078299409019	-5765.370319992328	-27.7079794166907	2.232798755276211	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.6117798076718616	-0.03374414607953589	5.3786682339839205	15.100256459284063	-17.39996160326802	-5765.370319992328
66	-5793.078299409019	-5765.370319992328	-27.7079794166907	2.232798755276211	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.6117798076718616	-0.03374414607953589	5.3786682339839205	15.100256459284063	-17.39996160326802	-5765.370319992328
68	-5793.274223513723	-5765.555046282956	-27.71917723076658	2.232798755276211	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.6117798076718616	-0.03374414607953589	5.3786682339839205	15.106195774785997	-17.4111594173439	-5765.555046282956
70	-5784.5270936598345	-5756.812545323053	-27.714548336781597	2.232798755276211	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.6117798076718616	-0.03374414607953589	5.3786682339839205	15.106195774785997	-17.406530523358917	-5756.812545323053
72	-5784.5270936598345	-5756.812545323053	-27.714548336781597	2.232798755276211	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.6117798076718616	-0.03374414607953589	5.3786682339839205	15.106195774785997	-17.406530523358917	-5756.812545323053
74	-5771.204997510547	-5744.778522839358	-26.426474671189755	2.232798755276211	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.6117798076718616	-0.013626099429918258	4.757384960001149	13.361297900422734	-16.13124117088159	-5744.778522839358
76	-5767.2453866573605	-5740.810980703873	-26.434405953487683	2.232798755276211	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.6117798076718616	-0.013626099429918258	4.757384960001149	13.361297900422736	-16.13917245317952	-5740.810980703873
78	-5767.2453866573605	-5740.810980703873	-26.434405953487683	2.232798755276211	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.6117798076718616	-0.013626099429918258	4.757384960001149	13.361297900422736	-16.13917245317952	-5740.810980703873
80	-5765.208520987173	-5739.379790088634	-25.82873089853942	2.232798755276211	1.695099241710519	-0.6592781914061192	-1.708883147170379	0.6117798076718616	-0.013626099429918258	4.278134929998186	12.207282101624774	-15.533497398231253	-5739.379790088634
82	-5767.251479406669	-5739.379790088634	-27.87168931803572	2.232798755276211	4.057222228608668	-0.6592781914061192	-1.708883147170379	0.6117798076718616	-0.013626099429918258	4.278134929998186	12.207282101624774	-15.862255873855394	-5739.379790088634
84	-5767.251479406669	-5739.379790088634	-27.87168931803572	2.232798755276211	4.057222228608668	-0.6592781914061192	-1.708883147170379	0.6117798076718616	-0.013626099429918258	4.278134929998186	12.207282101624774	-15.862255873855394	-5739.379790088634
86	-5763.805855816125	-5735.993163667221	-27.8126921489039	2.232798755276211	4.057222228608668	-0.6592781914061192	-1.708883147170379	0.6117798076718616	-0.013626099429918258	4.278134929998186	12.188772098824838	-15.80325870472357	-5735.993163667221
88	-5762.308571250478	-5735.993163667221	-26.315407583256828	2.232798755276211	2.282438499377729	-0.6592781914061192	-1.708883147170379	0.6117798076718616	-0.013626099429918258	4.278134929998186	12.188772098824838	-15.521412266440288	-5735.993163667221
90	-5762.308571250478	-5735.993163667221	-26.315407583256828	2.232798755276211	2.282438499377729	-0.6592781914061192	-1.708883147170379	0.6117798076718616	-0.013626099429918258	4.278134929998186	12.188772098824838	-15.521412266440288	-5735.993163667221
92	-5763.061810201254	-5736.423053879015	-26.638756322238947	2.232798755276211	2.282438499377729	-0.6592781914061192	-1.708883147170379	0.6117798076718616	-0.013626099429918258	4.422902812294811	12.60122816985012	-15.844761005422411	-5736.423053879015
94	-5762.261407916975	-5736.423053879015	-25.838354037960062	1.4191911594386786	2.282438499377729	-0.6592781914061192	-1.708883147170379	0.6117798076718616	-0.013626099429918258	4.422902812294811	12.60122816985012	-15.75885695054684	-5736.423053879015
96	-5762.277074340647	-5736.423053879015	-25.8540204616323	1.4191911594386786	2.282438499377729	-0.6592781914061192	-1.708883147170379	0.6117798076718616	-0.038193573307907076	4.422902812294811	12.60122816985012	-15.75885695054684	-5736.423053879015
98	-5762.277074340647	-5736.423053879015	-25.8540204616323	1.4191911594386786	2.282438499377729	-0.6592781914061192	-1.708883147170379	0.6117798076718616	-0.038193573307907076	4.422902812294811	12.60122816985012	-15.75885695054684	-5736.423053879015
100	-5762.277074340647	-5736.423053879015	-25.8540204616323	1.4191911594386786	2.282438499377729	-0.6592781914061192	-1.708883147170379	0.6117798076718616	-0.038193573307907076	4.422902812294811	12.60122816985012	-15.75885695054684	-5736.423053879015
102	-5763.386400988497	-5736.4226795174145	-26.96372147108287	1.4191911594386786	2.282438499377729	-0.6592781914061192	-1.708883147170379	0.6117798076718616	-0.038193573307907076	6.666219580346747	17.087861705953994	-16.86855795999741	-5736.4226795174145
104	-5763.386400988497	-5736.4226795174145	-26.96372147108287	1.4191911594386786	2.282438499377729	-0.6592781914061192	-1.708883147170379	0.6117798076718616	-0.038193573307907076	6.666219580346747	17.087861705953994	-16.86855795999741	-5736.4226795174145
106	-5763.449420471923	-5736.4226795174145	-27.026740954508796	1.4191911594386786	2.282438499377729	-0.2925093264379873	-1.708883147170379	0.6117798076718616	-0.038193573307907076	6.666219580346747	17.087861705953994	-16.653898338783005	-5736.4226795174145
108	-5762.071787515456	-5735.028429133963	-27.043358381492595	1.4191911594386786	2.282438499377729	-0.2925093264379873	-1.708883147170379	0.6117798076718616	-0.038193573307907076	6.666219580346747	17.0985147192496	-16.670515765766808	-5735.028429133963
110	-5732.342465618428	-5704.684776637347	-27.65768898108152	1.4191911594386786	2.282438499377729	-0.2925093264379873	-1.708883147170379	0.6117798076718616	-0.038193573307907076	6.666219580346747	17.59176379412199	-17.284846365355733	-5704.684776637347
112	-5730.748490695259	-5703.083789405997	-27.664701289261707	1.4191911594386786	2.282438499377729	-0.2925093264379873	-1.708883147170379	0.6117798076718616	-0.038193573307907076	6.666219580346747	17.59176379412199	-17.29185867353592	-5703.083789405997
114	-5730.748490695259	-5703.083789405997	-27.664701289261707	1.4191911594386786	2.282438499377729	-0.2925093264379873	-1.708883147170379	0.6117798076718616	-0.038193573307907076	6.666219580346747	17.59176379412199	-17.29185867353592	-5703.083789405997
116	-5730.748490695259	-5703.083789405997	-27.664701289261707	1.4191911594386786	2.282438499377729	-0.2925093264379873	-1.708883147170379	0.6117798076718616	-0.038193573307907076	6.666219580346747	17.59176379412199	-17.29185867353592	-5703.083789405997
118	-5730.690248932208	-5703.083789405997	-27.606459526211232	1.4191911594386786	2.282438499377729	-0.5330865353831206	-1.708883147170379	0.6117798076718616	-0.038193573307907076	6.666219580346747	17.59176379412199	-17.446115700291493	-5703.083789405997
120	-5729.964403173345	-5703.083788855488	-26.880614317857095	0.558681095798974	2.282438499377729	-0.5330865353831206	-1.708883147170379	0.6117798076718616	-0.038193573307907076	6.918895420353422	18.09711547413534	-17.544349829533008	-5703.083788855488
122	-5728.837956805219	-5701.975467424406	-26.86248938081318	0.558681095798974	2.282438499377729	-0.5330865353831206	-1.708883147170379	0.6117798076718616	-0.038193573307907076	6.918895420353422	18.095625415900418	-17.526224892489093	-5701.975467424406
124	-5728.837956805219	-5701.975467424406	-26.86248938081318	0.558681095798974	2.282438499377729	-0.5330865353831206	-1.708883147170379	0.6117798076718616	-0.038193573307907076	6.918895420353422	18.095625415900418	-17.526224892489093	-5701.975467424406
126	-5728.837956805219	-5701.975467424406	-26.86248938081318	0.558681095798974	2.282438499377729	-0.5330865353831206	-1.708883147170379	0.6117798076718616	-0.038193573307907076	6.918895420353422	18.095625415900418	-17.526224892489093	-5701.975467424406
128	-5726.993319290411	-5699.688552195254	-27.304767095157704	0.558681095798974	2.282438499377729	-0.5330865353831206	-1.708883147170379	0.6117798076718616	-0.038193573307907076	6.918895420353422	18.526631503204573	-17.968502606833617	-5699.688552195254
130	-5726.993319290411	-5699.688552195254	-27.304767095157704	0.558681095798974	2.282438499377729	-0.5330865353831206	-1.708883147170379	0.6117798076718616	-0.038193573307907076	6.918895420353422	18.526631503204573	-17.968502606833617	-5699.688552195254
132	-5717.68010588643	-5691.421130325429	-26.25897556100188	0.558681095798974	2.282438499377729	-0.5330865353831206	-1.708883147170379	0.6117798076718616	-0.038193573307907076	6.336719675023719	16.967747483640082	-16.922711072677792	-5691.421130325429
134	-5716.70282352167	-5690.487427361996	-26.215396159674018	0.558681095798974	2.282438499377729	-0.5330865353831206	-1.708883147170379	0.6117798076718616	-0.038193573307907076	6.336719675023719	16.955231707042046	-16.87913167134993	-5690.487427361996
