Sample	posterior	likelihood	prior	M.1	M.2	SkylineNe.A.1	SkylineNe.A.2	SkylineNe.B.1	SkylineNe.B.2	psi.height	psi.treeLength	Mascot	D.treeLikelihood
0	-5798.716306391212	-5764.098530009242	-34.61777638197062	4.5823533241039875	1.8259866228923938	-0.4698595089439939	-1.708883147170379	1.0469255077983552	-0.0856736835628913	2.932238177287625	11.767479964813905	-21.73470396467797	-5764.098530009242
2	-5798.716306391212	-5764.098530009242	-34.61777638197062	4.5823533241039875	1.8259866228923938	-0.4698595089439939	-1.708883147170379	1.0469255077983552	-0.0856736835628913	2.932238177287625	11.767479964813905	-21.73470396467797	-5764.098530009242
4	-5798.505657339781	-5763.876256896584	-34.62940044319639	4.5823533241039875	1.8259866228923938	-0.4698595089439939	-1.708883147170379	1.0469255077983552	-0.0856736835628913	2.932238177287625	11.77721589745456	-21.746328025903733	-5763.876256896584
6	-5798.505657339781	-5763.876256896584	-34.62940044319639	4.5823533241039875	1.8259866228923938	-0.4698595089439939	-1.708883147170379	1.0469255077983552	-0.0856736835628913	2.932238177287625	11.77721589745456	-21.746328025903733	-5763.876256896584
8	-5798.505657339781	-5763.876256896584	-34.62940044319639	4.5823533241039875	1.8259866228923938	-0.4698595089439939	-1.708883147170379	1.0469255077983552	-0.0856736835628913	2.932238177287625	11.77721589745456	-21.746328025903733	-5763.876256896584
10	-5755.563937630535	-5721.779279965631	-33.78465766490402	4.5823533241039875	1.8259866228923938	-0.4698595089439939	-1.708883147170379	1.0469255077983552	-0.0856736835628913	2.777947946881716	11.157515435045582	-20.901585247611365	-5721.779279965631
12	-5755.463415047737	-5721.666565356003	-33.79684969173406	4.5823533241039875	1.8259866228923938	-0.4698595089439939	-1.708883147170379	1.2391679069090753	-0.0856736835628913	2.777947946881716	11.142659558575442	-20.45782307733805	-5721.666565356003
14	-5657.089724722184	-5624.3455277091625	-32.74419701302133	4.5823533241039875	1.8259866228923938	-0.4698595089439939	-1.708883147170379	1.2391679069090753	-0.0856736835628913	2.777947946881716	10.862838841869385	-19.405170398625316	-5624.3455277091625
16	-5659.573611045592	-5624.3455277091625	-35.228083336429	10.09573202471577	1.8259866228923938	-0.4698595089439939	-1.708883147170379	1.2391679069090753	-0.0856736835628913	2.777947946881716	10.862838841869385	-19.584789678336225	-5624.3455277091625
18	-5660.457572536353	-5624.730638470533	-35.726934065819854	10.09573202471577	1.8259866228923938	-1.424391059320624	-1.708883147170379	1.2391679069090753	-0.0856736835628913	2.777947946881716	10.851306649266625	-19.906701355880678	-5624.730638470533
20	-5660.457572536353	-5624.730638470533	-35.726934065819854	10.09573202471577	1.8259866228923938	-1.424391059320624	-1.708883147170379	1.2391679069090753	-0.0856736835628913	2.777947946881716	10.851306649266625	-19.906701355880678	-5624.730638470533
22	-5659.527191732638	-5623.810540161468	-35.71665157116962	10.09573202471577	1.8259866228923938	-1.424391059320624	-1.708883147170379	1.2391679069090753	-0.0856736835628913	2.777947946881716	10.846022597272842	-19.896418861230444	-5623.810540161468
24	-5616.4904911769945	-5581.608933116763	-34.881558060231264	10.09573202471577	1.8259866228923938	-1.424391059320624	-1.708883147170379	1.2391679069090753	-0.0856736835628913	2.606003665941672	10.17469556299888	-19.061325350292087	-5581.608933116763
26	-5568.066951875556	-5534.134397823265	-33.93255405229035	10.09573202471577	1.8259866228923938	-1.424391059320624	-1.708883147170379	1.2391679069090753	-0.0856736835628913	2.4076729155310677	9.400347072019365	-18.11232134235117	-5534.134397823265
28	-5568.002806643365	-5534.134397823265	-33.86840882009951	10.09573202471577	1.8259866228923938	-1.424391059320624	-1.708883147170379	1.2391679069090753	-0.06036076605745416	2.4076729155310677	9.400347072019365	-18.081391344151406	-5534.134397823265
30	-5568.002806643365	-5534.134397823265	-33.86840882009951	10.09573202471577	1.8259866228923938	-1.424391059320624	-1.708883147170379	1.2391679069090753	-0.06036076605745416	2.4076729155310677	9.400347072019365	-18.081391344151406	-5534.134397823265
32	-5568.002806643365	-5534.134397823265	-33.86840882009951	10.09573202471577	1.8259866228923938	-1.424391059320624	-1.708883147170379	1.2391679069090753	-0.06036076605745416	2.4076729155310677	9.400347072019365	-18.081391344151406	-5534.134397823265
34	-5567.959324106248	-5534.134397823265	-33.824926282982446	10.09573202471577	1.8259866228923938	-1.424391059320624	-1.708883147170379	1.2391679069090753	-0.04273993514636952	2.4076729155310677	9.400347072019365	-18.06065233520379	-5534.134397823265
36	-5567.959324106248	-5534.134397823265	-33.824926282982446	10.09573202471577	1.8259866228923938	-1.424391059320624	-1.708883147170379	1.2391679069090753	-0.04273993514636952	2.4076729155310677	9.400347072019365	-18.06065233520379	-5534.134397823265
38	-5505.304353704609	-5472.087994145872	-33.21635955873713	10.09573202471577	1.8259866228923938	-1.424391059320624	-1.708883147170379	1.2391679069090753	-0.04273993514636952	2.4076729155310677	9.164460965043993	-17.452085610958473	-5472.087994145872
40	-5505.439715297011	-5472.314814525186	-33.12490077182475	10.09573202471577	1.8259866228923938	-1.424391059320624	-1.708883147170379	1.2391679069090753	-0.10819354334758065	1.940376852552888	8.229868839087635	-17.274579242988857	-5472.314814525186
42	-5505.130295794579	-5471.9773264650385	-33.15296932954095	10.09573202471577	1.8259866228923938	-1.424391059320624	-1.708883147170379	1.2391679069090753	-0.10819354334758065	1.940376852552888	8.237636440806854	-17.302647800705056	-5471.9773264650385
44	-5505.130295794579	-5471.9773264650385	-33.15296932954095	10.09573202471577	1.8259866228923938	-1.424391059320624	-1.708883147170379	1.2391679069090753	-0.10819354334758065	1.940376852552888	8.237636440806854	-17.302647800705056	-5471.9773264650385
46	-5505.130295794579	-5471.9773264650385	-33.15296932954095	10.09573202471577	1.8259866228923938	-1.424391059320624	-1.708883147170379	1.2391679069090753	-0.10819354334758065	1.940376852552888	8.237636440806854	-17.302647800705056	-5471.9773264650385
48	-5505.130295794579	-5471.9773264650385	-33.15296932954095	10.09573202471577	1.8259866228923938	-1.424391059320624	-1.708883147170379	1.2391679069090753	-0.10819354334758065	1.940376852552888	8.237636440806854	-17.302647800705056	-5471.9773264650385
50	-5460.727613087459	-5428.418043247014	-32.309569840445405	10.09573202471577	1.8259866228923938	-1.424391059320624	-1.708883147170379	1.2391679069090753	-0.10819354334758065	1.7903087104760442	7.600540201408846	-16.459248311609514	-5428.418043247014
52	-5460.727613087459	-5428.418043247014	-32.309569840445405	10.09573202471577	1.8259866228923938	-1.424391059320624	-1.708883147170379	1.2391679069090753	-0.10819354334758065	1.7903087104760442	7.600540201408846	-16.459248311609514	-5428.418043247014
54	-5394.1201323231735	-5363.25251434669	-30.867617976483213	10.09573202471577	1.8259866228923938	-1.424391059320624	-1.708883147170379	1.2391679069090753	-0.10819354334758065	1.5320661606179438	6.504202530466657	-15.01729644764732	-5363.25251434669
56	-5390.700393915171	-5359.863563513706	-30.836830401464795	10.09573202471577	1.8259866228923938	-1.424391059320624	-1.708883147170379	1.2391679069090753	-0.10819354334758065	1.5320661606179438	6.494206872901557	-14.9865088726289	-5359.863563513706
58	-5391.38376217337	-5359.863563513706	-31.52019865966379	10.09573202471577	3.0324511501563767	-1.424391059320624	-1.708883147170379	1.2391679069090753	-0.10819354334758065	1.5320661606179438	6.494206872901557	-14.728548567618239	-5359.863563513706
60	-5391.38376217337	-5359.863563513706	-31.52019865966379	10.09573202471577	3.0324511501563767	-1.424391059320624	-1.708883147170379	1.2391679069090753	-0.10819354334758065	1.5320661606179438	6.494206872901557	-14.728548567618239	-5359.863563513706
62	-5391.4651776516375	-5359.863563513706	-31.60161413793159	10.09573202471577	3.0324511501563767	-1.424391059320624	-1.708883147170379	1.2391679069090753	-0.1706518177222978	1.5320661606179438	6.494206872901557	-14.72385965672506	-5359.863563513706
64	-5389.248118351714	-5359.863563513706	-29.384554838007908	4.907686262434326	3.0324511501563767	-1.424391059320624	-1.708883147170379	1.2391679069090753	-0.1706518177222978	1.5320661606179438	6.494206872901557	-14.63571677439203	-5359.863563513706
