Sample	posterior	likelihood	prior	SkylineM.A_to_B.1	SkylineM.A_to_B.2	SkylineM.B_to_A.1	SkylineM.B_to_A.2	SkylineNe.A.1	SkylineNe.A.2	SkylineNe.A.3	SkylineNe.A.4	SkylineNe.B.1	SkylineNe.B.2	SkylineNe.B.3	SkylineNe.B.4	psi.height	psi.treeLength	Mascot	D.treeLikelihood
0	-4309.896114317683	-4284.858073931161	-25.03804038652177	1.272091654567154	0.8382523806261644	-0.24043564270230006	-1.1224010975594387	-0.28027689156972174	-0.4825468993483169	-0.5918115790029757	-0.6269916219492557	0.46868462909478914	-0.4732495494945004	0.28000475992138807	1.126881360188138	3.0834884500420703	7.641961351297878	-7.7518998243520425	-4284.858073931161
2	-4309.7880502489725	-4284.752428704776	-25.035621544196417	1.272091654567154	0.8382523806261644	-0.24043564270230006	-1.1224010975594387	-0.28027689156972174	-0.4825468993483169	-0.5918115790029757	-0.6269916219492557	0.46868462909478914	-0.4732495494945004	0.28000475992138807	1.126881360188138	3.0834884500420703	7.641530476283551	-7.749480982026689	-4284.752428704776
4	-4309.7880502489725	-4284.752428704776	-25.035621544196417	1.272091654567154	0.8382523806261644	-0.24043564270230006	-1.1224010975594387	-0.28027689156972174	-0.4825468993483169	-0.5918115790029757	-0.6269916219492557	0.46868462909478914	-0.4732495494945004	0.28000475992138807	1.126881360188138	3.0834884500420703	7.641530476283551	-7.749480982026689	-4284.752428704776
6	-4307.846468034625	-4283.213445546214	-24.633022488411584	1.272091654567154	0.8382523806261644	-0.24043564270230006	-1.1224010975594387	-0.28027689156972174	-0.4825468993483169	-0.5918115790029757	-0.6269916219492557	0.46868462909478914	-0.4732495494945004	0.28000475992138807	1.126881360188138	2.8683930889502594	7.108479101608266	-7.346881926241855	-4283.213445546214
8	-4307.846468034625	-4283.213445546214	-24.633022488411584	1.272091654567154	0.8382523806261644	-0.24043564270230006	-1.1224010975594387	-0.28027689156972174	-0.4825468993483169	-0.5918115790029757	-0.6269916219492557	0.46868462909478914	-0.4732495494945004	0.28000475992138807	1.126881360188138	2.8683930889502594	7.108479101608266	-7.346881926241855	-4283.213445546214
10	-4307.846468034625	-4283.213445546214	-24.633022488411584	1.272091654567154	0.8382523806261644	-0.24043564270230006	-1.1224010975594387	-0.28027689156972174	-0.4825468993483169	-0.5918115790029757	-0.6269916219492557	0.46868462909478914	-0.4732495494945004	0.28000475992138807	1.126881360188138	2.8683930889502594	7.108479101608266	-7.346881926241855	-4283.213445546214
12	-4308.301043243196	-4283.674119299081	-24.626923944114523	1.272091654567154	0.8382523806261644	-0.24043564270230006	-1.1224010975594387	-0.28027689156972174	-0.4825468993483169	-0.5918115790029757	-0.6269916219492557	0.46868462909478914	-0.4732495494945004	0.28000475992138807	1.126881360188138	2.8683930889502594	7.110653739402061	-7.340783381944794	-4283.674119299081
14	-4308.301043243196	-4283.674119299081	-24.626923944114523	1.272091654567154	0.8382523806261644	-0.24043564270230006	-1.1224010975594387	-0.28027689156972174	-0.4825468993483169	-0.5918115790029757	-0.6269916219492557	0.46868462909478914	-0.4732495494945004	0.28000475992138807	1.126881360188138	2.8683930889502594	7.110653739402061	-7.340783381944794	-4283.674119299081
16	-4310.335749481889	-4283.674119299081	-26.66163018280796	1.272091654567154	0.8382523806261644	-0.24043564270230006	-1.1224010975594387	-0.28027689156972174	-0.4825468993483169	-0.5918115790029757	-0.6269916219492557	0.46868462909478914	-1.4856360869520928	0.28000475992138807	1.126881360188138	2.8683930889502594	7.110653739402061	-6.634377115703327	-4283.674119299081
18	-4309.824141972635	-4283.125310127681	-26.69883184495358	1.272091654567154	0.8382523806261644	-0.24043564270230006	-1.1224010975594387	-0.28027689156972174	-0.4825468993483169	-0.5918115790029757	-0.6269916219492557	0.46868462909478914	-1.4856360869520928	0.28000475992138807	1.126881360188138	2.8683930889502594	7.114162053664085	-6.671578777848947	-4283.125310127681
20	-4309.7849031332435	-4283.087726113437	-26.697177019806396	1.272091654567154	0.8382523806261644	-0.24043564270230006	-1.1224010975594387	-0.28027689156972174	-0.4825468993483169	-0.5918115790029757	-0.6269916219492557	0.46868462909478914	-1.4856360869520928	0.28000475992138807	1.126881360188138	2.8683930889502594	7.113848969733511	-6.669923952701765	-4283.087726113437
22	-4309.7849031332435	-4283.087726113437	-26.697177019806396	1.272091654567154	0.8382523806261644	-0.24043564270230006	-1.1224010975594387	-0.28027689156972174	-0.4825468993483169	-0.5918115790029757	-0.6269916219492557	0.46868462909478914	-1.4856360869520928	0.28000475992138807	1.126881360188138	2.8683930889502594	7.113848969733511	-6.669923952701765	-4283.087726113437
24	-4309.602187270147	-4283.087726113437	-26.51446115670953	1.272091654567154	0.8382523806261644	-0.6772242410750513	-1.1224010975594387	-0.28027689156972174	-0.4825468993483169	-0.5918115790029757	-0.6269916219492557	0.46868462909478914	-1.4856360869520928	0.28000475992138807	1.126881360188138	2.8683930889502594	7.113848969733511	-6.576636717401911	-4283.087726113437
26	-4309.602187270147	-4283.087726113437	-26.51446115670953	1.272091654567154	0.8382523806261644	-0.6772242410750513	-1.1224010975594387	-0.28027689156972174	-0.4825468993483169	-0.5918115790029757	-0.6269916219492557	0.46868462909478914	-1.4856360869520928	0.28000475992138807	1.126881360188138	2.8683930889502594	7.113848969733511	-6.576636717401911	-4283.087726113437
28	-4309.602187270147	-4283.087726113437	-26.51446115670953	1.272091654567154	0.8382523806261644	-0.6772242410750513	-1.1224010975594387	-0.28027689156972174	-0.4825468993483169	-0.5918115790029757	-0.6269916219492557	0.46868462909478914	-1.4856360869520928	0.28000475992138807	1.126881360188138	2.8683930889502594	7.113848969733511	-6.576636717401911	-4283.087726113437
30	-4313.938361809732	-4283.087726113437	-30.85063569629479	1.272091654567154	0.8382523806261644	-0.6772242410750513	-3.1437242745865404	-0.28027689156972174	-0.4825468993483169	-0.5918115790029757	-0.6269916219492557	0.46868462909478914	-1.4856360869520928	0.28000475992138807	2.0795289085751043	2.8683930889502594	7.113848969733511	-6.709547673351484	-4283.087726113437
32	-4313.394512474791	-4282.545945962704	-30.848566512087103	1.272091654567154	0.8382523806261644	-0.6772242410750513	-3.1437242745865404	-0.28027689156972174	-0.4825468993483169	-0.5918115790029757	-0.6269916219492557	0.46868462909478914	-1.4856360869520928	0.28000475992138807	2.0795289085751043	2.8683930889502594	7.113658129417457	-6.707478489143797	-4282.545945962704
